register_#,annual_dfo,country,began,ended,days,deaths,displaced,damage_usd,main_cause,severity,sq_km,flood_magnitude_index,centroid_x,centroid_y
440,2000,Brazil,7/29/90,7/31/90,3,27,,,Heavy rain,1,2,3.78,-35.051,-8.034
441,292900,China - Typhoon Tasha,7/29/90,8/4/90,7,108,100800,83000000,Tropical cyclone,1,292.9,6.31,115.015,24.297
442,40660,Soviet Union,7/31/90,8/2/90,3,0,,see notes,Heavy rain,1,40.66,5.09,44.454,56.063
443,5520,Nigeria,8/2/90,8/3/90,2,100,,,Heavy rain,1,5.52,4.04,8.388,5.84
444,20290,USA,8/7/90,8/11/90,5,0,400,,Heavy rain,1,20.29,5.01,-71.753,44.006
445,256000,Mexico - Hurricane Diana,8/7/90,8/8/90,2,35,3500,,Tropical cyclone,1,256,5.71,-98.597,21.668
446,9580,Japan - Typhoon Winona,8/10/90,8/11/90,2,0,,,Extra-tropical cyclone,1,9.58,4.28,139.907,36.838
447,284900,India,8/13/90,8/14/90,2,17,,,Heavy rain,1,284.9,5.76,80.696,27.544
448,502400,USA,8/18/90,8/24/90,7,0,4000,,Heavy rain,1,502.4,6.55,-90.71,41.558
450,186200,India,8/19/90,8/25/90,7,50,,,Monsoonal rain,1,186.2,6.12,71.324,22.426
451,57750,Japan,8/22/90,8/23/90,2,2,,,Tropical cyclone,1,57.75,5.06,133.167,34.214
453,14540,Bangladesh,8/25/90,8/27/90,3,0,50000,,Monsoonal rain,1,14.54,4.64,90.468,22.628
454,27690,Nepal,8/27/90,9/4/90,9,42,2000,,Monsoonal rain,1,27.69,5.4,83.637,27.566
455,167100,Ethiopia,8/27/90,9/1/90,6,0,50300,,Heavy rain,1,167.1,6,35.197,7.003
456,45800,USA,9/7/90,9/9/90,3,5,300,,Heavy rain,1,45.8,5.14,-81.304,39.455
458,10440,South Korea,9/11/90,9/14/90,4,114,160000,400000000,Heavy rain,1.5,10.44,4.8,127.143,37.584
459,36120,Nigeria,9/16/90,9/21/90,6,0,300000,,Heavy rain,1,36.12,5.34,8.889,7.501
460,2790,Honduras,9/17/90,9/18/90,2,33,,,Brief torrential rain,1,2.79,3.75,-87.053,13.288
461,169600,Japan - Typhoon Flo,9/17/90,9/20/90,4,38,60000,1240000,Extra-tropical cyclone,1.5,169.6,6.01,138.568,37.175
462,41290,Mexico,9/22/90,9/25/90,4,45,5000,,Heavy rain,1.5,41.29,5.39,-106.048,28.622
463,20590,Vietnam - Typhoon Ed,9/22/90,9/26/90,5,29,560000,,Tropical cyclone,1,20.59,5.01,107.662,16.099
464,33260,Bangladesh,9/26/90,9/30/90,5,14,300000,,Heavy rain,1,33.26,5.22,89.906,24.135
466,26550,Scotland,10/6/90,10/7/90,2,1,300,,Heavy rain,1,26.55,4.73,-3.646,55.634
467,82530,Vietnam - Typhoons Ira and Lola,10/8/90,10/24/90,17,16,440800,,Tropical cyclone,1,82.53,6.15,107.467,16.313
468,162400,Thailand -  Typhoons Ira and Lola,10/8/90,10/26/90,19,11,,400000000,Tropical cyclone,1,162.4,6.49,103.076,16.283
469,41680,Bangladesh,10/10/90,10/13/90,4,9,700000,,Brief torrential rain,1,41.68,5.22,89.96,24.468
470,6240,Brazil,10/14/90,10/15/90,2,17,2000,,Brief torrential rain,1,6.24,4.1,-49.201,-26.909
471,5870,Bangladesh,10/14/90,10/17/90,4,0,30000,,Heavy rain,1,5.87,4.37,90.591,24.216
