register_#,annual_dfo,country,began,ended,days,deaths,displaced,damage_usd,main_cause,severity,sq_km,flood_magnitude_index,centroid_x,centroid_y
1111,10690,Sudan,9/10/96,9/15/96,6,0,800,,Heavy Rain,1,10.69,4.81,32.551,15.617
1112,11200,Puerto Rico,9/11/96,9/19/96,9,24,10000,155000000,Tropical Cyclone,1,11.2,5,-66.423,18.233
1113,232600,Cambodia,9/27/96,10/4/96,8,46,1000,5100000,Monsoonal rain,1,232.6,6.27,105.076,13.986
1114,9300,Mexico - Hurricane Fausto,9/13/96,9/14/96,2,1,300,,Tropical Cyclone,1,9.3,4.27,-110.047,23.595
1115,47110,Canada - Hurricane Hortense,9/15/96,9/18/96,4,0,,,Tropical Cyclone,1.5,47.11,5.45,-62.91,45.241
1116,5540,USA,9/18/96,9/20/96,3,0,,,Brief Torrential Rain,1,5.54,4.22,-100.889,36.008
1117,36470,China - Typhoon Willie,9/20/96,10/1/96,12,38,,100000000,Tropical Cyclone,1,36.47,5.64,109.807,19.433
1118,24390,Bosnia,9/20/96,9/24/96,5,1,,,Heavy Rain,1.5,24.39,5.26,17.002,44.429
1119,22610,Vietnam,10/1/96,11/13/96,44,162,200000,50000000,Heavy Rain,1,22.61,6,105.275,10.2
1120,116500,Thailand,10/3/96,10/28/96,26,60,,,Monsoonal rain,1,116.5,6.48,100.456,14.041
1121,366800,Mexico,10/6/96,10/10/96,5,0,9000,,Heavy Rain,1,366.8,6.26,-101.877,25.879
1123,67010,USA,10/19/96,10/23/96,5,5,700,,Heavy Rain,1.5,67.01,5.7,-72.283,42.333
1124,11940,Indonesia,10/20/96,10/22/96,3,13,5000,300000,Heavy Rain,1,11.94,4.55,110.139,-7.335
1125,177500,India,10/21/96,10/25/96,5,326,100000,128500000,Heavy Rain,1,177.5,5.95,78.729,15.034
1126,69800,Sudan,10/22/96,10/26/96,5,102,8000,,Heavy Rain,1,69.8,5.54,28.898,7.049
1127,64920,Somolia,11/6/96,11/10/96,5,0,2000,,Heavy Rain,1,64.92,5.51,45.518,3.558
1129,5680,Iceland,11/6/96,11/7/96,2,0,,12000000,Snowmelt,1,5.68,4.06,-16.792,64.363
1130,16760,Iran,11/9/96,11/13/96,5,5,12000,20000000,Heavy Rain,1,16.76,4.92,53.068,36.407
1131,37940,Egypt,11/13/96,11/25/96,13,23,1050,,Heavy Rain,1,37.94,5.69,32.755,25.839
1132,1040,Haiti,11/13/96,11/17/96,5,18,160,,Heavy Rain,1,1.04,3.72,-72.545,19.743
1133,6750,Dominican Republic - Tropical Storm Marco,11/17/96,11/23/96,7,3,3000,,Tropical Cyclone,1,6.75,4.67,-70.84,19.569
1134,1120,Albania,11/19/96,11/21/96,3,0,50,,Heavy Rain,1,1.12,3.53,19.703,41.8
1136,181900,Venezuela,12/3/96,12/5/96,3,0,10000,,Heavy Rain,1,181.9,5.74,-65.567,9.912
1137,26320,France,12/5/96,12/10/96,6,0,50,,Heavy Rain,1,26.32,5.2,3.511,43.359
1139,73240,Malaysia - Tropical Storm Greg,12/26/96,12/28/96,3,200,7000,52000000,Heavy Rain,1,73.24,5.34,117.312,5.514
1140,272700,USA,12/26/96,1/3/97,9,10,50,125000000,Rain and snowmelt,1,272.7,6.39,-122.188,46.444
1144,156700,USA,1/1/97,2/1/97,32,20,100000,1500000000,Heavy rain,1.5,156.7,6.88,-120.663,37.544
1166,28270,Bangladesh,3/19/97,3/24/97,6,25,5000,,Heavy rain,1,28.27,5.23,92.126,22.486
1152,146900,Madagascar-Gretelle,1/20/97,1/26/97,7,140,63000,,Tropical cyclone,1.5,146.9,6.19,46.182,-23.287
1154,689100,Bolivia,2/1/97,2/15/97,15,40,30000,35000000,Heavy rain,1.5,689.1,7.19,-65.013,-16.733
1155,7520,Peru,2/17/97,2/17/97,1,41,600,,Heavy rain,1,7.52,3.88,-72.379,-13.762
1156,30330,USA,2/21/97,2/25/97,5,0,700,,Rain and snowmelt,1,30.33,5.18,-89.064,41.843
1158,3610,Palestine,2/22/97,2/26/97,5,16,,,Heavy rain,1,3.61,4.26,35.229,32.165
1159,179900,USA,2/28/97,3/15/97,16,50,,500000000,Heavy rain,1.5,179.9,6.64,-84.784,37.938
1150,152500,Brazil,1/15/97,3/15/97,60,9,55000,,Heavy rain,1.5,152.5,7.14,-70.266,-9.137
1165,65910,USA,3/15/97,3/19/97,5,4,600,,Heavy rain,1,65.91,5.52,-122.426,47.05
1169,108600,Australia - Cyclone Justin,3/22/97,3/24/97,3,2,,,Tropical cyclone,1,108.6,5.51,145.709,-18.012
1168,282500,USA,3/22/97,4/25/97,35,0,50000,,Heavy rain,2,282.5,7.3,-95.381,45.948
1167,148900,Tanzania,3/20/97,4/15/97,27,61,3000,,Heavy rain,1,148.9,6.6,38.234,-9.627
1195,10110,Bangladesh,6/14/97,6/20/97,7,0,4000,,Heavy rain,1,10.11,4.85,92.071,21.774
1178,27160,Somalia,5/2/97,5/7/97,6,0,1740,,Heavy rain,1,27.16,5.21,46.619,3.306
1191,4630,Nepal,6/10/97,6/11/97,2,20,,,Monsoonal rain,1,4.63,3.97,87.81,26.981
1217,842700,China,7/6/97,8/1/97,27,287,200000,,Monsoonal rain,1,842.7,7.36,115.176,26.002
1228,4250,Sweden,7/27/97,7/29/97,3,0,20,,Heavy rain,1,4.25,4.11,21.482,65.547
1210,34990,Czech Republic,7/2/97,7/24/97,23,48,40000,1800000000,Heavy rain,2,34.99,6.21,17.1,49.682
1212,34950,Poland,7/3/97,8/9/97,38,54,162500,1000000000,Heavy rain,2,34.95,6.42,16.719,51.017
1211,9610,Bangladesh,7/3/97,7/15/97,13,100,200000,,Heavy rain,1,9.61,5.1,91.978,22.352
1213,8360,Germany,7/4/97,8/9/97,37,0,5200,276000000,Heavy rain,2,8.36,5.79,14.528,51.851
1227,28270,Romania,7/25/97,8/5/97,12,6,8000,,Heavy rain,1,28.27,5.53,23.996,45.071
1230,10100,Bangladesh,7/29/97,8/4/97,7,15,30000,,Heavy rain,1,10.1,4.85,91.961,22.019
1226,15180,USA,7/25/97,8/1/97,8,5,400,50000000,Heavy rain,1,15.18,5.08,-104.97,40.384
1233,34590,China - Typhoon Victor,8/2/97,8/7/97,6,65,,241000000,Tropical cyclone,1,34.59,5.32,114.815,22.619
1232,201800,India,8/1/97,8/11/97,11,24,100000,,Monsoonal rain,1,201.8,6.35,86.255,24.057
1241,1370,Hong Kong,8/13/97,8/15/97,3,0,4000,,Monsoonal rain,2,1.37,3.91,114.116,22.38
1239,7780,USA,8/10/97,8/12/97,3,11,350,,Heavy rain,1,7.78,4.37,-112.602,35.779
1245,6420,Taiwan - Typhoon Winnie,8/16/97,8/22/97,7,31,,,Tropical cyclone,1,6.42,4.65,121.6,24.719
1237,57530,India,8/8/97,8/14/97,7,200,,71000000,Monsoonal rain,1,57.53,5.6,77.341,31.791
1244,19170,Philipines - Typhoon Winnie,8/15/97,8/23/97,9,21,265000,,Tropical cyclone,1,19.17,5.24,120.631,15.275
1243,67370,China - Typhoon Winnie,8/15/97,8/21/97,7,56,790000,2675000000,Tropical cyclone,1,67.37,5.67,120.262,29.938
1246,659800,Sudan,8/18/97,8/20/97,3,0,5200,,Heavy rain,1,659.8,6.3,29.628,18.317
1238,70640,Burma,8/10/97,8/20/97,11,100,3000,,Monsoonal rain,1,70.64,5.89,96.477,17.938
1242,224900,Chile,8/15/97,8/19/97,5,10,,,Heavy rain,1,224.9,6.05,-69.247,-22.673
1250,31970,Thailand,8/19/97,9/1/97,14,46,200000,268000000,Monsoonal rain,1,31.97,5.65,98.967,9.321
1253,65150,Morocco,8/24/97,8/26/97,3,15,,,Heavy rain,1,65.15,5.29,-8.058,32.053
1249,55170,China - Typhoon Zita,8/19/97,8/25/97,7,345,54000,433000000,Tropical cyclone,1,55.17,5.59,110.884,21.694
1240,276900,Pakistan,8/12/97,9/3/97,23,165,836300,,Monsoonal rain,2,276.9,7.11,72.526,32.356
1255,6430,Afghanistan,9/7/97,9/8/97,2,30,600,,Heavy rain,1,6.43,4.11,70.224,34.843
1248,43610,Thailand,8/19/97,9/1/97,14,46,300000,,Monsoonal rain,1,43.61,5.79,103.765,17.038
1257,11300,Sri Lanka,9/13/97,9/17/97,5,10,5000,420000,Heavy rain,1,11.3,4.75,80.259,6.91
1260,97070,Mexico - Hurricane Olaf,9/25/97,9/29/97,5,12,,,Tropical cyclone,1,97.07,5.69,-92.62,15.942
1283,34010,Vietnam - Typhoon Linda,11/2/97,11/12/97,11,594,30000,472000000,Tropical cyclone,1.5,34.01,5.75,-6.538,32.143
1259,15920,Vietnam - Typhoon Fritz,9/20/97,9/29/97,10,28,,5100000,Tropical cyclone,1,15.92,5.2,108.01,15.914
1262,22490,Spain,9/28/97,10/1/97,4,5,400,,Heavy rain,1,22.49,4.95,-1.193,38.112
1267,73530,Mexico - Hurricane Pauline,10/6/97,10/12/97,7,400,3000,,Tropical cyclone,1,73.53,5.71,-98.41,16.866
1270,5120,Colombia,10/14/97,10/16/97,3,2,15000,3000000,Heavy rain,1,5.12,4.19,-74.767,9.436
1272,465800,Brazil,10/15/97,10/22/97,8,0,21000,,Heavy rain,1,465.8,6.57,-52.761,-27.407
1278,72850,Mexico,10/27/97,10/31/97,5,8,1200,,Heavy rain,1,72.85,5.56,-92.226,16.264
1279,40360,Portugal,10/29/97,11/2/97,5,29,50,17000000,Heavy rain,1,40.36,5.3,-8.216,39.22
1283,34010,Vietnam - Typhoon Linda,11/2/97,11/12/97,11,594,30000,472000000,Tropical cyclone,1.5,34.01,5.75,105.641,9.715
1294,1640,Albania,12/20/97,12/23/97,4,0,400,,Heavy rain,1,1.64,3.82,19.711,41.843
1293,323800,Tanzania,12/20/97,12/31/97,12,38,104000,,Heavy rain,1,323.8,6.59,34.025,-6.084
1153,97030,Brazil,1/22/97,1/27/97,6,10,11000,,Heavy rain,1,97.03,5.77,-49.056,-23.9
1146,131600,Saudi Arabia,1/7/97,1/8/97,2,10,,,Heavy rain,1,131.6,5.42,39.352,22.624
1149,62970,China,1/14/97,1/18/97,5,21,50400,,Rain and snowmelt,1,62.97,5.5,83.12,43.436
1148,34740,Greece,1/12/97,1/14/97,3,6,300,,Heavy rain,1.5,34.74,5.19,22.599,37.51
1147,73850,Turkey,1/8/97,1/10/97,3,3,100,,Heavy rain,1.5,73.85,5.52,27.192,39.041
1143,347000,Brazil,1/1/97,1/8/97,8,81,43000,,Heavy rain,1,347,6.44,-44.439,-19.298
1145,9160,Morocco,1/5/97,1/7/97,3,23,,,Heavy rain,1,9.16,4.44,-5.924,33.023
1142,56750,Georgia,1/1/97,1/6/97,6,3,,19500000,Rain and snowmelt,1,56.75,5.53,44.169,42.15
1141,718000,USA,12/26/96,1/3/97,9,23,110000,,Heavy rain,1,718,6.81,-120.005,41.297
1157,1210,Jordan,2/22/97,2/26/97,5,4,,,Heavy rain,1,1.21,3.78,35.981,31.934
1171,488300,Iran,3/25/97,3/30/97,6,2,,,Heavy rain,1,488.3,6.47,52.696,30.078
1170,98250,Saudi Arabia,3/25/97,3/28/97,4,16,,,Heavy rain,1,98.25,5.59,43.474,18.904
1164,25950,Ecuador,3/9/97,3/24/97,16,12,1000,,Heavy rain,1,25.95,5.62,-80.162,-2.758
1163,18320,Philippines,3/9/97,3/13/97,5,18,105000,76000,Heavy rain,1,18.32,4.96,125.768,8.881
1162,13550,Fiji - Cyclone Gavin,3/6/97,3/8/97,3,17,1300,,Tropical cyclone,1,13.55,4.61,178.043,-17.823
1161,68460,Egypt,3/2/97,3/4/97,3,4,,,Heavy rain,1,68.46,5.31,30.677,30.428
1160,365800,Bolivia,3/1/97,3/4/97,4,16,,35000000,Heavy rain,1.5,365.8,6.34,-65.619,-13.063
1177,17290,Nigeria,4/30/97,5/1/97,2,5,,,Heavy rain,1,17.29,4.54,4.038,7.463
1176,31950,Georgia,4/26/97,5/2/97,7,4,300,10000000,Heavy rain,1,31.95,5.35,44,42.28
1175,17010,Iran,4/26/97,5/5/97,10,6,1500,,Heavy rain,1,17.01,5.23,59.472,32.814
1174,26140,Russia,4/24/97,4/30/97,7,3,1000,,Ice jam/break-up,1,26.14,5.26,89.068,60.885
1173,12360,Ethiopia,4/19/97,4/22/97,4,29,,,Heavy rain,1,12.36,4.69,37.544,5.992
1172,12910,Russia,4/15/97,4/17/97,3,2,500,174100000,Heavy rain,1,12.91,4.59,40.082,47.334
1183,10760,Philippines - Typhoon Bining,5/25/97,5/27/97,3,35,210000,,Tropical cyclone,1,10.76,4.51,120.715,14.83
1179,175000,China,5/3/97,5/16/97,14,135,360000,160000000,Heavy rain,2,175,6.69,113.348,22.905
1182,121900,Afghanistan,5/12/97,5/15/97,4,40,,,Rain and snowmelt,1,121.9,5.69,67.037,36.213
1181,183100,China,5/9/97,5/13/97,5,111,,,Heavy rain,1,183.1,5.96,109.438,23.85
1180,74260,China,5/5/97,5/11/97,7,19,,,Heavy rain,1,74.26,5.72,117.365,25.489
1204,332600,South Africa,6/26/97,7/5/97,10,9,,,Heavy rain,1,332.6,6.52,24.75,-31.416
1203,17110,Italy,6/26/97,6/29/97,4,2,700,,Heavy rain,1,17.11,4.84,10.013,45.992
1202,183100,India,6/22/97,8/26/97,66,273,20000,157000000,Monsoonal rain,1,183.1,7.08,71.309,22.44
1198,25840,Iran,6/18/97,6/28/97,11,2,,20000000,Heavy rain,1,25.84,5.45,48.001,38.401
1201,58700,South Korea,6/22/97,6/26/97,5,10,,,Heavy rain,1,58.7,5.47,127.643,36.267
1196,31960,Iran,6/17/97,6/21/97,5,13,,,Heavy rain,1,31.96,5.2,59.983,35.626
1190,144400,Chile,6/10/97,6/24/97,15,20,51000,,Heavy rain,1.5,144.4,6.51,-71.915,-36.919
1199,155900,USA,6/19/97,6/23/97,5,3,350,,Heavy rain,1,155.9,5.89,-97.479,29.536
1200,21980,Oman,6/21/97,6/23/97,3,4,,,Heavy rain,1,21.98,4.82,55.92,23.568
1197,18480,Japan - Typhoon Opal,6/18/97,6/20/97,3,3,,,Tropical cyclone,1,18.48,4.74,139.129,35.367
1194,8000,France,6/14/97,6/17/97,4,4,,,Brief torrential rain,1,8,4.51,0.929,49.462
1193,8490,Romania,6/13/97,6/16/97,4,12,400,,Heavy rain,1.5,8.49,4.71,22.231,47.027
1192,4330,Ghana,6/12/97,6/15/97,4,6,,,Heavy rain,1,4.33,4.24,0.118,5.756
1189,25290,China,6/8/97,6/12/97,5,56,383000,160000000,Heavy rain,1,25.29,5.1,113.235,28.214
1188,73130,Cuba,6/7/97,6/11/97,5,1,8300,,Heavy rain,1,73.13,5.56,-77.887,21.552
1185,29000,China,6/3/97,6/10/97,8,40,,1000000,Heavy rain,1,29,5.37,103.687,26.874
1187,10070,China,6/6/97,6/10/97,5,150,,,Heavy rain,1,10.07,4.7,104.958,31.208
1186,3050,El Salvador - Tropical Depression Andres,6/6/97,6/9/97,4,4,,,Tropical cyclone,1,3.05,4.09,-88.433,13.444
1184,1020,Hong Kong,6/2/97,6/4/97,3,1,,,Brief torrential rain,1,1.02,3.49,114.213,22.336
1225,199000,Sudan,7/25/97,7/30/97,6,5,3000,180000,Heavy rain,1,199,6.08,23.759,12.749
1216,28960,Moldava,7/6/97,7/29/97,24,9,20000,200000000,Heavy rain,1,28.96,5.84,28.318,47.251
1224,5800,Pakistan,7/25/97,7/29/97,5,16,,,Monsoonal rain,1,5.8,4.46,74.577,34.973
1223,127900,Pakistan,7/25/97,7/28/97,4,31,,,Monsoonal rain,1,127.9,5.71,72.236,32.287
1222,5930,Japan - Typhoon Rosie,7/24/97,7/27/97,4,5,1200,,Tropical cyclone,1,5.93,4.38,135.571,33.947
1219,27350,China,7/10/97,7/30/97,21,301,300000,,Heavy rain,1,27.35,5.76,99.478,26.94
1221,124200,China,7/17/97,7/22/97,6,19,,,Heavy rain,1.5,124.2,6.05,104.42,35.24
1215,233000,India,7/5/97,7/22/97,18,100,,,Monsoonal rain,1,233,6.62,76.681,9.49
1220,20180,China,7/15/97,7/18/97,4,48,,,Heavy rain,1,20.18,4.91,105.185,28.47
1214,70600,India,7/5/97,7/14/97,10,97,,,Monsoonal rain,1,70.6,5.85,92.914,26.091
1218,95830,Japan,7/8/97,7/13/97,6,26,200,,Heavy rain,1,95.83,5.76,132.779,33.297
1209,109500,Iran,7/2/97,7/6/97,5,11,1400,5000000,Heavy rain,1,109.5,5.74,46.173,37.183
1208,2940,Taiwan,7/2/97,7/5/97,4,8,,,Heavy rain,1,2.94,4.07,121.135,24.844
1207,21240,Turkey,7/2/97,7/4/97,3,4,,,Brief torrential rain,1,21.24,4.8,38.722,40.611
1205,11250,South Korea,6/28/97,7/5/97,8,4,60,1650000,Heavy rain,1,11.25,4.95,127.852,36.594
1206,16280,USA,6/30/97,7/3/97,4,16,,,Heavy rain,1,16.28,4.81,-83.686,42.844
1251,40010,India,8/22/97,8/26/97,5,26,,,Monsoonal rain,1,40.01,5.3,74.83,33.94
1252,11250,Malaysia,8/23/97,8/27/97,5,6,2115,39000000,Heavy rain,1,11.25,4.75,100.618,5.88
1247,228300,India,8/19/97,8/24/97,6,50,10000,,Monsoonal rain,1,228.3,6.14,75.442,18.823
1235,25070,China,8/7/97,8/14/97,8,13,,,Heavy rain,1,25.07,5.3,110.494,24.989
1236,25210,Nepal,8/8/97,8/12/97,5,30,,,Monsoonal rain,1,25.21,5.1,87.035,27.376
1234,17020,Turkey,8/7/97,8/12/97,6,11,,,Heavy rain,1.5,17.02,5.19,43.538,39.624
1231,29190,Vietnam,8/1/97,8/7/97,7,12,800,,Heavy rain,1,29.19,5.31,104.011,21.883
1229,47680,South Korea,7/29/97,8/3/97,6,12,115,9900000,Heavy rain,1,47.68,5.46,127.412,36.074
1254,124700,China,9/1/97,9/8/97,8,63,92000,,Heavy rain,1,124.7,6,112.648,27.231
1256,15280,Japan - Typhoon Oliwa,9/9/97,9/14/97,6,17,30000,,Tropical cyclone,1,15.28,4.96,130.992,31.805
1258,80640,India,9/19/97,9/24/97,6,32,20000,,Tropical cyclone,1,80.64,5.68,82.101,16.987
1277,30770,Iran,10/22/97,10/26/97,5,5,,,Heavy rain,1,30.77,5.19,54.339,37.061
1271,34480,Kenya,10/15/97,10/23/97,9,23,,,Heavy rain,1,34.48,5.49,39.711,-3.01
1275,307600,Egypt,10/17/97,10/23/97,7,12,,,Heavy rain,1,307.6,6.33,32.575,26.527
1274,23910,Israel,10/17/97,10/19/97,3,15,,,Heavy rain,1,23.91,4.86,34.801,30.78
1273,24510,Jordan,10/17/97,10/19/97,3,2,,,Heavy rain,1,24.51,4.87,35.727,31.125
1265,30590,Iran,10/5/97,10/9/97,5,3,,,Heavy rain,1,30.59,5.18,57.17,37.183
1268,20690,Sudan,10/7/97,10/9/97,3,1,300,,Heavy rain,1,20.69,4.79,32.575,16.276
1264,770,Portugal,10/3/97,10/5/97,3,2,,,Heavy rain,1,770,3.36,-16.988,32.747
1287,8840,Kenya,11/30/97,12/3/97,4,11,10000,,Heavy rain,1,8.84,4.55,39.812,-0.852
1286,28960,Tanzania,11/14/97,11/28/97,15,0,400,,Heavy rain,1,28.96,5.64,34.26,-1.848
1285,20740,Uganda,11/14/97,11/28/97,15,35,20000,1000000,Heavy rain,1,20.74,5.49,34.123,1.185
1282,119900,Ecuador,11/1/97,11/30/97,30,27,10000,,Heavy rain,1,119.9,6.56,-79.753,-1.664
1281,138400,Syria,11/1/97,11/8/97,8,7,,,Heavy rain,1,138.4,6.04,38.38,34.554
1280,49810,Indonesia,11/1/97,11/6/97,6,3,,,Heavy rain,1,49.81,5.48,99.07,2.808
1295,6230,Indonesia,12/24/97,12/27/97,4,5,,,Heavy rain,1,6.23,4.4,113.312,-7.858
1292,59480,Malawi,12/19/97,12/24/97,6,4,1500,,Heavy rain,1,59.48,5.55,33.74,-11.955
1291,54840,USA,12/18/97,12/22/97,5,4,,,Heavy rain,1,54.84,5.44,-96.989,31.483
1289,325500,Argentina,12/9/97,12/14/97,6,2,1000,,Heavy rain,1,325.5,6.29,-63.436,-32.721
1290,113100,Egypt,12/10/97,12/14/97,5,4,,,Heavy rain,1,113.1,5.75,32.224,29.669
1288,384900,India,12/4/97,12/9/97,6,6,,,Monsoonal rain,1,384.9,6.36,78.988,13.849
1296,33830,Australia,1/1/98,2/1/98,32,1,64,,Tropical cyclone,1,33.83,6.03,145.996,-18.747
1297,958700,Congo,12/20/97,1/12/98,24,3,20000,,Tropical cyclone,1.5,958.7,7.54,26.757,-0.824
1300,267600,Australia,1/25/98,1/28/98,4,2,24,1175,Tropical cyclone,1.5,267.6,6.21,131.849,-14.556
1301,265500,USA,2/3/98,2/24/98,22,42,,,Tropical cyclone,1,265.5,6.77,-80.526,33.384
1302,63270,USA,2/3/98,2/21/98,19,13,3500,500000000,Tropical cyclone,1.5,63.27,6.26,-119.707,35.176
1304,317600,Paraguay,12/15/97,2/13/98,61,50,100000,,Tropical cyclone,1,317.6,7.29,-57.872,-20.888
1306,376700,Bolivia,2/11/98,2/13/98,3,60,1500,,Heavy rain,1,376.7,6.05,-64.425,-15.7
1307,75880,Afghanistan,2/20/98,2/27/98,8,30,3000,,Heavy rain,1,75.88,5.78,61.915,32.11
1309,128500,Australia - Tropical Storm May,3/1/98,3/6/98,6,0,22,,Tropical cyclone,1.5,128.5,6.06,137.79,-16.575
1310,65210,South Africa,3/1/98,3/4/98,4,7,200,,Heavy rain,1,65.21,5.42,28.686,-31.539
1311,185200,USA,3/7/98,3/13/98,7,11,18000,270000000,Heavy rain,1.5,185.2,6.29,-86.359,32.687
1312,2150,Wales,3/7/98,3/8/98,2,0,2,,Heavy rain,1,2.15,3.63,-3.593,52.898
1314,48380,Malawi,1/19/98,2/4/98,17,0,10000,,Heavy rain,1,48.38,5.92,35.197,-13.868
1315,20430,Greece,2/6/98,2/7/98,2,1,,,Heavy rain,1,20.43,4.61,22.287,40.736
1316,34200,Russia,2/18/98,3/7/98,18,1,88000,13000000,Snowmelt,1,34.2,5.79,39.371,46.533
1317,8450,Mexico,2/23/98,2/24/98,2,4,800,,Heavy rain,1,8.45,4.23,-116.395,31.388
1318,54370,Brazil,2/20/98,2/21/98,2,1,,,Heavy rain,1,54.37,5.04,-52.293,-31.32
1319,199700,China,3/6/98,3/13/98,8,2,130000,,Heavy rain,1.5,199.7,6.38,113.08,30.356
1320,44400,Indonesia,2/25/98,2/27/98,3,0,,,Heavy rain,1,44.4,5.12,109.837,-7.524
1321,28620,Yemen,3/14/98,3/16/98,3,0,1600,,Heavy rain,1,28.62,4.93,43.664,14.512
1324,19150,Florida,3/20/98,3/24/98,5,0,560,,Heavy rain,1.5,19.15,5.16,-82.276,28.503
1325,39690,USA,3/21/98,3/23/98,3,0,80,,Heavy rain,1,39.69,5.08,-82.064,32.357
1326,26870,Indonesia,3/24/98,3/25/98,2,0,400,,Heavy rain,1,26.87,4.73,110.866,-7.85
1327,203400,Iran,3/28/98,4/5/98,9,84,10000,97300000,Brief torrential rain,1,203.4,6.26,50.806,31.629
1328,97720,Democratic Republic of the Congo,3/26/98,3/27/98,2,8,,,Brief torrential rain,1,97.72,5.29,16.074,-5.066
1329,46560,USA,3/31/98,4/7/98,8,0,,,Snowmelt,2,46.56,5.87,-71.097,44.103
1330,283500,Canada,3/28/98,4/6/98,10,2,3463,,Snowmelt,1,283.5,6.45,-79.956,45.463
1331,1540,Vanuatu - Cyclone Zuman,3/31/98,4/1/98,2,0,800,,Tropical cyclone,1,1.54,3.49,166.98,-15.453
1332,45900,Central African Republic,4/6/98,4/7/98,2,6,200,,Brief torrential rain,1,45.9,4.96,18.107,4.739
1333,16140,England,4/10/98,4/13/98,4,5,300,1270000000,Brief torrential rain,1.5,16.14,4.99,-0.487,52.439
1335,70590,USA,4/15/98,4/17/98,3,0,,,Brief torrential rain,1,70.59,5.33,-84.394,39.593
1336,130900,Australia,4/10/98,4/10/98,1,0,,,Heavy rain,1,130.9,5.12,150.68,-33.412
1337,117700,Afghanistan,4/6/98,4/10/98,5,30,5000,,Heavy rain,1,117.7,5.77,70.12,36.21
1339,209600,Brazil,4/11/98,4/11/98,1,0,11200,,Heavy rain,1,209.6,5.32,-51.653,-28.188
1340,79600,USA,4/17/98,4/21/98,5,2,1200,100000000,Heavy rain,1,79.6,5.6,-81.768,35.568
1341,50160,Poland,4/20/98,4/26/98,7,0,1500,,Heavy rain,1,50.16,5.55,21.411,50.769
1342,114800,Indonesia,4/15/98,4/16/98,2,13,400,,Heavy rain,1,114.8,5.36,103.962,-3.611
1343,73480,South Africa,4/23/98,4/24/98,2,0,200,,Brief torrential rain,1,73.48,5.17,22.004,-33.198
1345,59530,Tajikistan,4/24/98,5/7/98,14,203,20000,66000000,Heavy rain,1,59.53,5.92,68.934,38.437
1346,5590,Hong Kong,4/26/98,4/27/98,2,0,,,Brief torrential rain,1,5.59,4.05,113.915,22.466
1347,106300,Afghanistan,4/26/98,4/28/98,3,35,,,Rain and snowmelt,1,106.3,5.5,67.663,34.455
1348,287300,USA,4/26/98,4/28/98,3,4,,,Heavy rain,1,287.3,5.94,-95.448,35.354
1349,53960,Papua New Guinea,4/27/98,5/1/98,5,0,30000,,Heavy rain,1,53.96,5.43,142.971,-7.165
1350,169800,Tanzania,4/27/98,5/4/98,8,5,4600,,Brief torrential rain,1,169.8,6.13,37.421,-6.951
1351,242700,Paraguay,3/1/98,5/7/98,68,55,85000,,Heavy rain,1,242.7,7.22,-59.15,-22.922
1352,17720,Italy,5/1/98,5/7/98,7,148,3463,,Heavy rain,1,17.72,5.09,12.982,41.691
1353,62270,Russia,5/4/98,5/7/98,4,0,,,Snowmelt,1.5,62.27,5.57,39.708,59.975
1354,209200,Australia,5/6/98,5/11/98,6,0,,,Heavy rain,1,209.2,6.1,149.409,-28.745
1355,1700,Connecticut,5/8/98,5/10/98,3,0,,,Heavy rain,1.5,1.7,3.88,-73.127,42.248
1356,15360,New Jersey,5/11/98,5/13/98,3,0,124,,Heavy rain,1,15.36,4.66,-75.16,40.021
1357,23660,Indonesia,5/11/98,5/13/98,3,0,,,Heavy rain,1,23.66,4.85,107.054,-6.651
1359,97000,China,5/1/98,5/5/98,5,0,2000,,Brief torrential rain,1,97,5.69,111.459,28.717
1360,125200,Iran,5/12/98,5/16/98,5,27,,,Brief torrential rain,1,125.2,5.8,60.251,32.742
1361,60530,China,5/12/98,5/17/98,6,11,,48000000,Heavy rain,1,60.53,5.56,117.939,25.12
1362,314800,Siberia,5/16/98,6/6/98,22,15,51000,3500000,Ice jam/break-up,1.5,314.8,7.02,131.959,63.957
1363,34070,Bangladesh - Tropical Cyclone 01B,5/20/98,5/30/98,11,0,,,Tropical cyclone,1,34.07,5.57,90.027,23.451
1364,142700,Turkey,5/20/98,5/23/98,4,19,514,2000000000,Brief torrential rain,1,142.7,5.76,31.491,38.779
1365,100600,Somalia,5/19/98,5/21/98,3,0,,,Heavy rain,1,100.6,5.48,41.826,0.671
1366,178700,China,5/16/98,5/20/98,5,11,508,3600000,Brief torrential rain,1,178.7,5.95,83.673,40.92
1370,70340,China,5/20/98,5/25/98,6,58,106000,247000000,Heavy rain,1.5,70.34,5.8,112.018,26.713
1372,45400,Kyrgyzstan,5/18/98,5/22/98,5,1,8760,2400000,Brief torrential rain,1,45.4,5.36,70.374,41.777
1374,106200,Kenya,5/27/98,5/31/98,5,19,800,,Heavy rain,1,106.2,5.73,37.167,-0.956
1376,48940,Afghanistan,5/29/98,6/1/98,4,30,100,,Heavy rain,1,48.94,5.29,66.035,36.857
1377,56640,Russia,6/3/98,6/7/98,5,0,49,,Ice jam/break-up,1,56.64,5.45,52.982,66.642
1378,7740,Taiwan,6/1/98,6/8/98,8,3,300,19000000,Monsoonal rain,1,7.74,4.79,120.822,23.661
